tick,timestamp_ms,symbol,symbol_family,passive_world_label,passive_world_observations,passive_world_mean_avg_carry,passive_world_mean_avg_carried_cos,passive_world_best_max_carry,passive_world_best_max_carried_cos,passive_world_positive_carried_cos_count,passive_world_avg_readiness,passive_world_passive_only,action,raw_action,phase_active,phase_distance,phase_age,episode_binding_pressure,episode_release_pressure,episode_relation,mini_temporal_state,mini_family_age,mini_ticks_since_family_seen,mini_recurrence_strength,mini_afterimage,mini_time_distance,mini_temporal_form_distance,mini_temporal_trust_support,mini_temporal_caution_support,mini_neuro_dominant_tone,mini_focus_tone,mini_trust_tone,mini_caution_tone,mini_strain_tone,mini_relief_tone,mini_observation_tone,mini_neuro_support,mini_neuro_load,mini_neuro_balance,best_action_training,reward,close_reward,best_reward_training,outcome_event,event_reward,event_raw_return,entry_price,tp_price,sl_price,exit_price,bars_held,better_entry_training,entry_improvement_room,score_wait,score_long,score_short,base_score_wait,base_score_long,base_score_short,wait_bias,trade_caution_long,trade_caution_short,immature_memory_pressure_long,immature_memory_pressure_short,weak_signal_pressure_long,weak_signal_pressure_short,readiness_wait,readiness_long,readiness_short,memory_bias_wait,memory_bias_long,memory_bias_short,associative_wait,associative_long,associative_short,observation_wait,observation_long,observation_short,observation_readiness_wait,observation_readiness_long,observation_readiness_short,trade_readiness,associative_trade,observation_trade_signal,observation_trade_readiness,maturity_gap,mature_transfer,observation_learning_action,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
1,1767490300000000,dio_0cgnxn5,dio_0cgn,conflict16,1,0.134400,-0.041084,0.260199,0.794854,7,0.015053,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.745149,0.000153,0.227055,0.151420,0.323200,0.434865,0.364531,0.163501,0.201031,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,102.15000000,102.15000000,102.15000000,102.15000000,0,102.15000000,0.000000,0.012354,-0.042459,-0.045388,-0.010136,0.005052,0.003712,0.022490,0.048543,0.049100,0.019991,0.020000,0.028552,0.029100,0.000000,0.000451,0.000000,0.000000,0.001032,0.000000,0.000000,0.006449,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000451,0.006449,0.000000,0.000000,0.005997,0.000451,SHORT,0.540725,0.054440,1.000000,0.108879,0.055143,0.206897,0.984560,0.063445,0.097996
2,1767490600000000,dio_0fa9zle,dio_0fa9,conflict16,1,0.134400,-0.041084,0.260199,0.794854,7,0.015053,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.230830,0.000045,0.281396,0.256916,0.263393,0.434960,0.206153,0.231719,-0.025565,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,101.68000000,101.68000000,101.68000000,101.68000000,0,101.68000000,0.000000,0.026032,-0.052935,-0.053844,0.003535,-0.004182,-0.005057,0.022497,0.049059,0.048787,0.019997,0.020000,0.029061,0.028787,0.000000,0.000134,0.000000,0.000000,0.000306,0.000000,0.000000,0.001910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000134,0.001910,0.000000,0.000000,0.001776,0.000134,SHORT,0.208000,-0.201426,-1.000000,-0.620110,0.360444,0.804878,-0.300924,0.335203,-0.100649
3,1767490900000000,dio_06bdgpn,dio_06bd,conflict16,1,0.134400,-0.041084,0.260199,0.794854,7,0.015053,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.364517,0.000052,0.296675,0.286337,0.246710,0.434954,0.239583,0.250798,-0.011216,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,101.18000000,101.18000000,101.18000000,101.18000000,0,101.18000000,0.000000,0.022087,-0.051274,-0.052377,-0.000410,-0.002043,-0.003142,0.022497,0.049579,0.049235,0.019997,0.020000,0.029582,0.029235,0.000000,0.000153,0.000000,0.000000,0.000349,0.000000,0.000000,0.002179,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000153,0.002179,0.000000,0.000000,0.002027,0.000153,SHORT,0.348977,-0.473624,-0.333333,-0.345201,0.373255,0.295567,0.095489,0.410921,-0.288964
4,1767491200000000,dio_0ojrw25,dio_0ojr,conflict16,1,0.134400,-0.041084,0.260199,0.794854,7,0.015053,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.425993,0.000055,0.310827,0.313700,0.231194,0.434952,0.253072,0.268518,-0.015445,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.72000000,100.72000000,100.72000000,100.72000000,0,100.72000000,0.000000,0.019890,-0.050608,-0.051942,-0.002606,-0.001183,-0.002571,0.022496,0.049795,0.049371,0.019997,0.020000,0.029798,0.029371,0.000000,0.000162,0.000000,0.000000,0.000369,0.000000,0.000000,0.002309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000162,0.002309,0.000000,0.000000,0.002147,0.000162,SHORT,0.436237,-0.724046,0.000000,-0.188908,0.350179,0.137457,0.301950,0.481400,-0.423312
5,1767491500000000,dio_04zirxa,dio_04zi,conflict16,1,0.134400,-0.041084,0.260199,0.794854,7,0.015053,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.651860,0.000096,0.315671,0.323001,0.225915,0.434915,0.315054,0.274556,0.040498,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.34000000,100.34000000,100.34000000,100.34000000,0,100.34000000,0.000000,0.013251,-0.046633,-0.049877,-0.009243,0.002056,0.000098,0.022494,0.049334,0.049975,0.019994,0.020000,0.029340,0.029975,0.000000,0.000282,0.000000,0.000000,0.000645,0.000000,0.000000,0.004031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000282,0.004031,0.000000,0.000000,0.003749,0.000282,LONG,0.640048,-0.984391,1.000000,0.101715,0.180164,-0.057307,0.949554,0.505388,-0.538309
6,1767491800000000,dio_1qigcjr,dio_1qig,conflict16,1,0.134400,-0.041084,0.260199,0.794854,7,0.015053,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.678623,0.000091,0.295441,0.283857,0.248111,0.434920,0.327874,0.249214,0.078660,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.08000000,100.08000000,100.08000000,100.08000000,0,100.08000000,0.000000,0.012160,-0.045600,-0.048665,-0.010334,0.002927,0.001070,0.022494,0.049136,0.049735,0.019995,0.020000,0.029141,0.029735,0.000000,0.000267,0.000000,0.000000,0.000610,0.000000,0.000000,0.003811,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000267,0.003811,0.000000,0.000000,0.003545,0.000267,LONG,0.639763,-0.874202,1.000000,0.202334,-0.011927,-0.101781,0.996660,0.404548,-0.461349
7,1767492100000000,dio_0vc85jd,dio_0vc8,conflict16,1,0.134400,-0.041084,0.260199,0.794854,7,0.015053,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.452039,0.000053,0.291310,0.275835,0.252663,0.434953,0.265518,0.244027,0.021490,SHORT,0.000000,0.000000,0.438144,NO_TRADE,0.000000,0.000000,100.30000000,100.30000000,100.30000000,100.30000000,0,100.30000000,0.000000,0.018618,-0.048703,-0.050599,-0.003878,0.000679,-0.000797,0.022496,0.049740,0.049802,0.019997,0.020000,0.029743,0.029802,0.000000,0.000157,0.000000,0.000000,0.000358,0.000000,0.000000,0.002239,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000157,0.002239,0.000000,0.000000,0.002083,0.000157,SHORT,0.411952,-0.483187,0.000000,0.648337,-0.183654,-0.206186,0.348577,0.383807,-0.156221
8,1767492400000000,dio_1g7l35z,dio_1g7l,conflict16,1,0.134400,-0.041084,0.260199,0.794854,7,0.015053,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.273970,0.000046,0.247231,0.190390,0.301113,0.434959,0.227285,0.188746,0.038540,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.58000000,100.58000000,100.58000000,100.58000000,0,100.58000000,0.000000,0.024252,-0.051056,-0.051763,0.001755,-0.001717,-0.002336,0.022497,0.049650,0.049427,0.019997,0.020000,0.029653,0.029427,0.000000,0.000136,0.000000,0.000000,0.000311,0.000000,0.000000,0.001944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000136,0.001944,0.000000,0.000000,0.001808,0.000136,SHORT,0.217167,-0.077222,-1.000000,0.464469,-0.135390,0.080214,-0.237909,0.163612,0.084271
9,1767492700000000,dio_1k0rwi1,dio_1k0r,conflict16,1,0.134400,-0.041084,0.260199,0.794854,7,0.015053,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.496659,0.000079,0.249748,0.195193,0.298386,0.434930,0.288988,0.191870,0.097118,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.80000000,100.80000000,100.80000000,100.80000000,0,100.80000000,0.000000,0.018359,-0.046761,-0.048976,-0.004136,0.002068,0.000820,0.022495,0.049360,0.049796,0.019995,0.020000,0.029364,0.029796,0.000000,0.000232,0.000000,0.000000,0.000531,0.000000,0.000000,0.003316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000232,0.003316,0.000000,0.000000,0.003084,0.000232,SHORT,0.403395,0.254690,0.000000,0.154195,-0.105623,-0.057471,0.370425,0.176003,0.168139
10,1767493000000000,dio_10kxynx,dio_10kx,conflict16,1,0.134400,-0.041084,0.260199,0.794854,7,0.015053,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.488919,0.000067,0.259386,0.213898,0.287781,0.434941,0.284274,0.203967,0.080307,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.62000000,100.62000000,100.62000000,100.62000000,0,100.62000000,0.000000,0.018174,-0.046873,-0.048965,-0.004321,0.002061,0.000829,0.022496,0.049382,0.049794,0.019996,0.020000,0.029386,0.029794,0.000000,0.000196,0.000000,0.000000,0.000448,0.000000,0.000000,0.002801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000196,0.002801,0.000000,0.000000,0.002605,0.000196,SHORT,0.405895,0.299760,0.000000,-0.464234,-0.057187,-0.062112,0.383988,0.224195,0.044027
11,1767493300000000,dio_1f4vx6s,dio_1f4v,conflict16,1,0.134400,-0.041084,0.260199,0.794854,7,0.015053,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.284872,0.000041,0.238326,0.173121,0.310905,0.434964,0.232687,0.177574,0.055113,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.28000000,100.28000000,100.28000000,100.28000000,0,100.28000000,0.000000,0.023892,-0.051083,-0.051522,0.001394,-0.001717,-0.002018,0.022497,0.049641,0.049504,0.019998,0.020000,0.029644,0.029504,0.000000,0.000120,0.000000,0.000000,0.000275,0.000000,0.000000,0.001719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000120,0.001719,0.000000,0.000000,0.001599,0.000120,SHORT,0.213153,-0.011078,-1.000000,-0.493718,0.084406,0.159236,-0.223634,0.119098,-0.092849
12,1767493600000000,dio_1w4m0ap,dio_1w4m,conflict16,1,0.134400,-0.041084,0.260199,0.794854,7,0.015053,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.486167,0.000053,0.260208,0.215430,0.286913,0.434953,0.283293,0.204972,0.078321,SHORT,0.000000,0.000000,0.490798,NO_TRADE,0.000000,0.000000,99.96000000,99.96000000,99.96000000,99.96000000,0,99.96000000,0.000000,0.017903,-0.048388,-0.050113,-0.004594,0.000934,-0.000151,0.022496,0.049678,0.049962,0.019997,0.020000,0.029681,0.029962,0.000000,0.000156,0.000000,0.000000,0.000356,0.000000,0.000000,0.002226,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000156,0.002226,0.000000,0.000000,0.002071,0.000156,SHORT,0.411343,-0.342458,0.000000,-0.244287,0.107545,0.061350,0.369887,0.228087,-0.238135
13,1767493900000000,dio_1vjg16d,dio_1vjg,conflict16,1,0.134400,-0.041084,0.260199,0.794854,7,0.015053,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.696841,0.000098,0.273888,0.242121,0.271776,0.434914,0.338656,0.222201,0.116454,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,99.72000000,99.72000000,99.72000000,99.72000000,0,99.72000000,0.000000,0.011839,-0.044652,-0.047690,-0.010655,0.003646,0.001854,0.022494,0.048956,0.049544,0.019994,0.020000,0.028961,0.029544,0.000000,0.000288,0.000000,0.000000,0.000658,0.000000,0.000000,0.004112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000288,0.004112,0.000000,0.000000,0.003824,0.000288,LONG,0.602579,-0.595238,1.000000,0.042702,0.095716,0.000000,0.973200,0.297033,-0.323085
14,1767494200000000,dio_1t73pqz,dio_1t73,conflict16,1,0.134400,-0.041084,0.260199,0.794854,7,0.015053,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.467257,0.000048,0.277370,0.248734,0.268030,0.434957,0.273466,0.226511,0.046955,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,99.94000000,99.94000000,99.94000000,99.94000000,0,99.94000000,0.000000,0.018146,-0.047779,-0.049727,-0.004351,0.001454,0.000218,0.022497,0.049559,0.049946,0.019997,0.020000,0.029562,0.029946,0.000000,0.000143,0.000000,0.000000,0.000326,0.000000,0.000000,0.002037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000143,0.002037,0.000000,0.000000,0.001895,0.000143,SHORT,0.403526,-0.375450,0.000000,0.577393,-0.152016,-0.343750,0.357435,0.313919,-0.140428
15,1767494500000000,dio_1q9bwwb,dio_1q9b,conflict16,1,0.134400,-0.041084,0.260199,0.794854,7,0.015053,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.280811,0.000042,0.241267,0.178792,0.307689,0.434963,0.230778,0.181250,0.049528,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.18000000,100.18000000,100.18000000,100.18000000,0,100.18000000,0.000000,0.023958,-0.050834,-0.051472,0.001461,-0.001390,-0.001952,0.022497,0.049722,0.049520,0.019998,0.020000,0.029725,0.029520,0.000000,0.000122,0.000000,0.000000,0.000279,0.000000,0.000000,0.001744,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000122,0.001744,0.000000,0.000000,0.001622,0.000122,SHORT,0.218155,-0.055400,-1.000000,0.392229,-0.113507,0.094340,-0.231782,0.133698,0.081979
16,1767494800000000,dio_0rb2qnk,dio_0rb2,conflict16,1,0.134400,-0.041084,0.260199,0.794854,7,0.015053,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.294608,0.000038,0.229925,0.156776,0.320173,0.434966,0.237637,0.167013,0.070624,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.02000000,100.02000000,100.02000000,100.02000000,0,100.02000000,0.000000,0.023773,-0.050738,-0.051101,0.001276,-0.001240,-0.001462,0.022497,0.049754,0.049639,0.019998,0.020000,0.029756,0.029639,0.000000,0.000112,0.000000,0.000000,0.000256,0.000000,0.000000,0.001600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000112,0.001600,0.000000,0.000000,0.001488,0.000112,SHORT,0.224206,0.033347,-1.000000,-0.259186,-0.051115,0.064516,-0.214312,0.076944,-0.030627
17,1767495100000000,dio_1jo7eef,dio_1jo7,conflict16,1,0.134400,-0.041084,0.260199,0.794854,7,0.015053,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.273847,0.000036,0.247103,0.190217,0.301213,0.434969,0.227273,0.188616,0.038657,SHORT,0.000000,0.000000,0.541401,NO_TRADE,0.000000,0.000000,99.64000000,99.64000000,99.64000000,99.64000000,0,99.64000000,0.000000,0.024537,-0.051586,-0.052050,0.002039,-0.002345,-0.002714,0.022498,0.049481,0.049337,0.019998,0.020000,0.029483,0.029337,0.000000,0.000105,0.000000,0.000000,0.000239,0.000000,0.000000,0.001497,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000105,0.001497,0.000000,0.000000,0.001392,0.000105,SHORT,0.211070,-0.044569,-1.000000,-0.533638,0.140686,0.254777,-0.239392,0.163189,-0.102076
18,1767495400000000,dio_1w4m0ap,dio_1w4m,conflict16,1,0.134400,-0.041084,0.260199,0.794854,7,0.015053,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_near_return,6,6,0.166667,0.056000,0.250000,0.024712,0.609107,0.055379,focus_tone,0.624978,0.153850,0.079165,0.161570,0.349288,0.556127,0.405081,0.102692,0.302389,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,99.32000000,99.32000000,99.32000000,99.32000000,0,99.32000000,0.000000,0.018405,-0.048817,-0.047856,-0.004033,0.000635,-0.000343,0.022438,0.049763,0.049531,0.019997,0.019944,0.029766,0.029587,0.000000,0.000136,0.002776,0.000000,0.000311,0.002019,0.000000,0.001943,0.000000,0.000000,0.000000,0.025236,0.000000,0.000000,0.002776,0.002776,0.001943,0.025236,0.002776,0.000000,0.001943,LONG,0.405932,-0.344651,0.000000,-0.245917,0.165485,-0.031646,0.353664,0.253604,-0.258354
