stage_order,stage,family,found,island_id,island_members,family_count,edge_count,possible_edge_count,local_edge_density,degree,max_degree,degree_share,role,center_candidates,neighbors,passive_only,controlled_dataset_scope,long_run_claim,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
1,I_WELTKONTAKT,dio_10qz,True,dio_semantic_island_3,dio_10qz|dio_114i|dio_1ytc,3,2,3,0.666667,2,2,1.0,center_candidate,dio_10qz,dio_114i|dio_1ytc,True,True,False,False,False,False,False,False,False,False
1,I_WELTKONTAKT,dio_114i,True,dio_semantic_island_3,dio_10qz|dio_114i|dio_1ytc,3,2,3,0.666667,1,2,0.5,center_near_partner,dio_10qz,dio_10qz,True,True,False,False,False,False,False,False,False,False
1,I_WELTKONTAKT,dio_1ytc,True,dio_semantic_island_3,dio_10qz|dio_114i|dio_1ytc,3,2,3,0.666667,1,2,0.5,center_near_partner,dio_10qz,dio_10qz,True,True,False,False,False,False,False,False,False,False
1,I_WELTKONTAKT,dio_0325,True,dio_semantic_island_24,dio_0325,1,0,0,0.0,0,0,0.0,single_trace,-,,True,True,False,False,False,False,False,False,False,False
2,J_FOLGEKONTAKT,dio_10qz,True,dio_semantic_island_1,dio_10qz|dio_114i|dio_1ytc,3,2,3,0.666667,2,2,1.0,center_candidate,dio_10qz,dio_114i|dio_1ytc,True,True,False,False,False,False,False,False,False,False
2,J_FOLGEKONTAKT,dio_114i,True,dio_semantic_island_1,dio_10qz|dio_114i|dio_1ytc,3,2,3,0.666667,1,2,0.5,center_near_partner,dio_10qz,dio_10qz,True,True,False,False,False,False,False,False,False,False
2,J_FOLGEKONTAKT,dio_1ytc,True,dio_semantic_island_1,dio_10qz|dio_114i|dio_1ytc,3,2,3,0.666667,1,2,0.5,center_near_partner,dio_10qz,dio_10qz,True,True,False,False,False,False,False,False,False,False
2,J_FOLGEKONTAKT,dio_0325,True,dio_semantic_island_23,dio_0325,1,0,0,0.0,0,0,0.0,single_trace,-,,True,True,False,False,False,False,False,False,False,False
3,K_FOLGEKONTAKT2,dio_10qz,True,dio_semantic_island_1,dio_0325|dio_10qz|dio_114i|dio_1ytc,4,3,6,0.5,2,2,1.0,center_candidate,dio_10qz|dio_1ytc,dio_114i|dio_1ytc,True,True,False,False,False,False,False,False,False,False
3,K_FOLGEKONTAKT2,dio_114i,True,dio_semantic_island_1,dio_0325|dio_10qz|dio_114i|dio_1ytc,4,3,6,0.5,1,2,0.5,center_near_partner,dio_10qz|dio_1ytc,dio_10qz,True,True,False,False,False,False,False,False,False,False
3,K_FOLGEKONTAKT2,dio_1ytc,True,dio_semantic_island_1,dio_0325|dio_10qz|dio_114i|dio_1ytc,4,3,6,0.5,2,2,1.0,center_candidate,dio_10qz|dio_1ytc,dio_0325|dio_10qz,True,True,False,False,False,False,False,False,False,False
3,K_FOLGEKONTAKT2,dio_0325,True,dio_semantic_island_1,dio_0325|dio_10qz|dio_114i|dio_1ytc,4,3,6,0.5,1,2,0.5,center_near_partner,dio_10qz|dio_1ytc,dio_1ytc,True,True,False,False,False,False,False,False,False,False
4,L_FOLGEKONTAKT3,dio_10qz,True,dio_semantic_island_1,dio_0325|dio_10qz|dio_114i|dio_1ytc,4,3,6,0.5,2,2,1.0,center_candidate,dio_10qz|dio_1ytc,dio_114i|dio_1ytc,True,True,False,False,False,False,False,False,False,False
4,L_FOLGEKONTAKT3,dio_114i,True,dio_semantic_island_1,dio_0325|dio_10qz|dio_114i|dio_1ytc,4,3,6,0.5,1,2,0.5,center_near_partner,dio_10qz|dio_1ytc,dio_10qz,True,True,False,False,False,False,False,False,False,False
4,L_FOLGEKONTAKT3,dio_1ytc,True,dio_semantic_island_1,dio_0325|dio_10qz|dio_114i|dio_1ytc,4,3,6,0.5,2,2,1.0,center_candidate,dio_10qz|dio_1ytc,dio_0325|dio_10qz,True,True,False,False,False,False,False,False,False,False
4,L_FOLGEKONTAKT3,dio_0325,True,dio_semantic_island_1,dio_0325|dio_10qz|dio_114i|dio_1ytc,4,3,6,0.5,1,2,0.5,center_near_partner,dio_10qz|dio_1ytc,dio_1ytc,True,True,False,False,False,False,False,False,False,False
5,M_FOLGEKONTAKT4,dio_10qz,True,dio_semantic_island_8,dio_10qz|dio_114i,2,1,1,1.0,1,1,1.0,center_candidate,dio_10qz|dio_114i,dio_114i,True,True,False,False,False,False,False,False,False,False
5,M_FOLGEKONTAKT4,dio_114i,True,dio_semantic_island_8,dio_10qz|dio_114i,2,1,1,1.0,1,1,1.0,center_candidate,dio_10qz|dio_114i,dio_10qz,True,True,False,False,False,False,False,False,False,False
5,M_FOLGEKONTAKT4,dio_1ytc,False,-,-,0,0,0,0.0,0,0,0.0,single_trace,-,-,True,True,False,False,False,False,False,False,False,False
5,M_FOLGEKONTAKT4,dio_0325,True,dio_semantic_island_23,dio_0325,1,0,0,0.0,0,0,0.0,single_trace,-,,True,True,False,False,False,False,False,False,False,False
6,N_FOLGEKONTAKT5,dio_10qz,True,dio_semantic_island_8,dio_10qz|dio_114i,2,1,1,1.0,1,1,1.0,center_candidate,dio_10qz|dio_114i,dio_114i,True,True,False,False,False,False,False,False,False,False
6,N_FOLGEKONTAKT5,dio_114i,True,dio_semantic_island_8,dio_10qz|dio_114i,2,1,1,1.0,1,1,1.0,center_candidate,dio_10qz|dio_114i,dio_10qz,True,True,False,False,False,False,False,False,False,False
6,N_FOLGEKONTAKT5,dio_1ytc,False,-,-,0,0,0,0.0,0,0,0.0,single_trace,-,-,True,True,False,False,False,False,False,False,False,False
6,N_FOLGEKONTAKT5,dio_0325,True,dio_semantic_island_20,dio_0325,1,0,0,0.0,0,0,0.0,single_trace,-,,True,True,False,False,False,False,False,False,False,False
